airline_sentiment,text
negative,@united at this point I made it home on my own.
negative,@AmericanAir my flt is at 7a tom. I have now rec'd notification that I'm going out from some other airport
negative,@USAirways you're killing me from the inside
negative,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS
positive,"@AmericanAir  TPA - ORD!!! AA1679 Another successful journey, thanks for the hospitality!"
neutral,@SouthwestAir sent
neutral,@USAirways tell reservations to rebook me from 5080 to 5129
negative,@united you are terrible.
negative,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
negative,@united have you read your own same day travel change policy?
positive,@united awesome new plane flight 1701
positive,@united thnx!
negative,"@AmericanAir I've been trying to get through to reservations since yesterday to make a change to a reservation hold, when will it be up?"
negative,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.
neutral,"@SouthwestAir 
How do I get a companion pass??? Thanks,  Lin S"
neutral,@JetBlue you know it!!
negative,@SouthwestAir wife's flight to DAL just got Cancelled Flightled. What does she do to find options to get back home?  1708 PHX-&gt;DAL
negative,"@AmericanAir Yes, it says my reservation cannot be retrieved at this time. Also I never got an email from AA saying my flight was Cancelled Flightled."
negative,@SouthwestAir : This is the second time in a row I haven't received text updates about flight time change. Don't offer if you won't use it
neutral,@JetBlue @drwinston001 I think we'll need a selfie as proof...
positive,@SouthwestAir @PaytonTaylor129 I love Southwest and Payton Taylor!
negative,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)"
negative,@united Finally I get the right response. United must check this issue. UA 1514 EWR to PUJ on Friday 02/20/15.
negative,@USAirways Sitting in a cesspool of germs on the ground in #PHL for 2 hours now.
negative,@AmericanAir your service is horrible. I can't get a straight answer from your ground agents.
negative,"@united ok so what is being done about my experience? My family had a terrible experience for $1,200. It's kind of like being robbed.Explain"
positive,@AmericanAir Thx! I hope so. IAH to DFW to OKC has turned out to be a LONG trip today and I have to work tomorrow.
negative,@USAirways cardholder is flying.  We both have us airways and advantage cards which is more frustrating.
negative,"@USAirways And also, it's great that you tweet @ complainers, but what about the in-person help when I need it? Robyn F. in Manch = useless."
negative,@united still haven't received a response. Please direct message me for my contact information.
negative,"@AmericanAir So break whatever you want, take no responsibility..Too bad for customer? #media #filmcrew @chicagotribune @WSJ #nytimes @CNN"
positive,"@JetBlue My #FlyingItForward affects just one small family of four, but it would make a huge difference in their life."
positive,@united private jet would have been cool! Do does not work. I'll try again
neutral,"@USAirways Darn it, first in line for no upgrade! Wish I understood the policy. :) http://t.co/xGPaAyFDwt"
negative,@jetblue trading customer experience for short term $$. So sad for this (previous?) loyal customer. https://t.co/dFmvmiBH4x
positive,@JetBlue @WSJ #JETBLUE treated me right as a #disabledtraveler thanks for a no hassle flight to @jamaica
negative,"@SouthwestAir I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations."
neutral,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3
negative,@USAirways on top or having to check my bag I had to wait over 30 min for my bag to come out at baggage claim. Thanks for wasting my time
positive,@AmericanAir thank you!
negative,@united bags are still in Houston since Friday and still have not been reimbursed the baggage fee.
negative,"@united it should be free like other airlines! Again, it’s not 1997 anymore."
negative,@USAirways @AmericanAir ok the app doesn't seem to be working. just use the mobile site... http://t.co/4kLfywwMq1
negative,@USAirways unacceptable. You knew the pilot wouldn't be able to complete the trip. Wasted all of our time.
positive,@SouthwestAir Hey sourhwest can you send me to Atlanta to see @Imaginedragons ? I will fly southwest forever. U guys are the best airline!
neutral,"@JetBlue I want you guys to be the first to fly to #Cuba, from NYC."
positive,"@AmericanAir continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh."
negative,"@SouthwestAir my wife has now been on hold for 90 minutes....I get weather is bad, but this is insane. #customerservice #customerloyalty"
negative,@united if you lost my belongings then BE HONEST!
negative,@AmericanAir please allow me to speak with someone. A dialogue would solve this issue better and faster than emailing.
negative,"@JetBlue You never got my wife to her destination and you expect a $75.00 ""goodwill credit"" will  make everything hunky-dory. You blew it."
negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
negative,"@usairways. Seriously, attendants go AWOL for 60 mins.   Now flight further delayed.   Don't lite a match either http://t.co/mT8sPlm02v"
negative,"@USAirways  I open the credit card and earn 44,000+ miles, and you wont' credit the miles to my account to restore the forfeited miles"
negative,@united - we're sitting in UA1088 getting delayed because the operations can't find captain. #ridiculous #united
negative,@AmericanAir any idea on what the wait time is for refunds from @USAirways? I was told a few days over the phone - but it's well past that.
positive,"@JetBlue no, they're too busy being awesome and trying to get us out ASAP. I'll deal."
negative,@united they did on a delta flight out of LAX which is why I should be compensated for my rental car there.
negative,@USAirways i tried it but doesnt help very much and Reservation seems to be overwhelmed with some issues
negative,@USAirways i've been on hold for an hour trying to change my flight!!! COME ON
negative,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required
positive,@JetBlue thank you very very much!! 💙💙
negative,@united pls stop sending texts every 15mins saying my flight is delayed another 15mins-It's been 3hrs. I usually defend u but this is lame..
